rank,feature_name,n_total,n_valid_x,valid_fraction,pairwise_n,n_unique,mean,std,min,max,pearson_r,pearson_p,spearman_r,spearman_p,abs_pearson,abs_spearman,mutual_information,bootstrap_spearman_median,bootstrap_spearman_ci_low,bootstrap_spearman_ci_high,bootstrap_sign_stability,feature_set_name,feature_family,operation,condition,base_feature,formula_readable,feature_readable,formula_family,equivalent_feature_key,status,recommended,not_recommended_reason
17,ecg_baseline_before::baseline_dev_sit_before__hrv_freq__LF_power__delta,22,19,0.8636363636363636,19,19,0.00010841422649512632,0.00033394463866009917,-0.0003748757794557,0.0008982474837309,0.3816645575294652,0.10687035691102952,0.3201418355798812,0.18147784274321094,0.3816645575294652,0.3201418355798812,0.0,0.3411828435272458,-0.15340838021821265,0.673285945189469,0.894,ecg_baseline_before,HRV frequency,baseline_dev_sit_before,"Deviation from personal baseline, sit before training",hrv_freq__LF_power,difference,"Deviation from personal baseline, sit before training: LF power — difference",absolute_change,"ecg_baseline_before||baseline_dev_sit_before||Deviation from personal baseline, sit before training||hrv_freq__LF_power||absolute_change",candidate,False,moderate_association;passes_minimum_filters
18,ecg_orthostatic_before::orthostatic_before__hrv_time__RMSSD_ms__percent_delta,22,21,0.9545454545454546,21,21,-29.923585662965923,15.997699376571838,-59.69152130809256,0.1785246892424892,0.23475258238956875,0.30569206204270466,0.315550373365902,0.16350144701432165,0.23475258238956875,0.315550373365902,0.0,0.2956688891358587,-0.19968191985373962,0.6735310865643153,0.914,ecg_orthostatic_before,HRV time,orthostatic_before,Orthostatic response before training,hrv_time__RMSSD_ms,percent change,"Orthostatic response before training: RMSSD, ms — percent change",relative_change,ecg_orthostatic_before||orthostatic_before||Orthostatic response before training||hrv_time__RMSSD_ms||relative_change,candidate,False,moderate_association;passes_minimum_filters
19,ecg_baseline_before::baseline_dev_sit_before__hrv_time__SDNN_ms__robust_z,22,19,0.8636363636363636,19,19,-0.05343836556732307,1.511382311152929,-3.128024721976557,2.6341635145170272,0.27234189113386814,0.2593172680697772,0.3122262407441149,0.1931242602494867,0.27234189113386814,0.3122262407441149,0.04788395728798234,0.3196644844282644,-0.26368984406872586,0.7746098367619262,0.848,ecg_baseline_before,HRV time,baseline_dev_sit_before,"Deviation from personal baseline, sit before training",hrv_time__SDNN_ms,robust z-score,"Deviation from personal baseline, sit before training: SDNN, ms — robust z-score",normalized_deviation,"ecg_baseline_before||baseline_dev_sit_before||Deviation from personal baseline, sit before training||hrv_time__SDNN_ms||normalized_deviation",candidate,False,moderate_association;passes_minimum_filters
20,ecg_raw_rest_before::before__sit__full__morph_qrs__QRS_main_amp,22,15,0.6818181818181818,15,15,350.46055738076063,5.72407386822926,338.1240083155143,359.3527788692929,-0.15383105426409743,0.5841216889124182,-0.3108776669243092,0.2594036875922037,0.15383105426409743,0.3108776669243092,0.04920542420542384,-0.31571242083133966,-0.7585003384187833,0.23499433437120634,0.858,ecg_raw_rest_before,ECG raw,absolute,before/sit/full,morph_qrs__QRS_main_amp,absolute value,"QRS main amplitude (before, sit, full)",QRS_main_amp,ecg_raw_rest_before||absolute||before/sit/full||morph_qrs__QRS_main_amp||QRS_main_amp,candidate,False,moderate_association;passes_minimum_filters
21,ecg_raw_rest_before::before__sit__full__morph_t__QT_like_ms,22,14,0.6363636363636364,14,7,335.1308533650184,9.2717837655222,324.16293452761784,358.28534868841973,0.17731568847803628,0.544225594636827,0.30363958931398183,0.2912560980727246,0.17731568847803628,0.30363958931398183,0.0,0.3100839132341324,-0.3007653748540607,0.764387195771801,0.848,ecg_raw_rest_before,ECG raw,absolute,before/sit/full,morph_t__QT_like_ms,absolute value,"QT-like interval, ms (before, sit, full)",QT_like_ms,ecg_raw_rest_before||absolute||before/sit/full||morph_t__QT_like_ms||QT_like_ms,candidate,False,moderate_association;passes_minimum_filters
22,ecg_breath_before::breath_in_response_before__hrv_time__pNN50_percent__delta,22,22,1.0,22,6,-24.848484848484848,24.59679664107513,-66.66666666666666,0.0,-0.2897760701297538,0.1908355488286681,-0.2965358917976499,0.18022488421888835,0.2897760701297538,0.2965358917976499,0.11458291489603067,-0.29078910395150526,-0.6694696045457458,0.18089529996769782,0.912,ecg_breath_before,HRV time,breath_in_response_before,Inhale breath-hold response before training,hrv_time__pNN50_percent,difference,"Inhale breath-hold response before training: pNN50, % — difference",absolute_change,ecg_breath_before||breath_in_response_before||Inhale breath-hold response before training||hrv_time__pNN50_percent||absolute_change,weak,False,low_abs_spearman
23,ecg_baseline_before::baseline_dev_sit_before__hrv_time__SDNN_ms__delta,22,19,0.8636363636363636,19,19,0.31259474693680717,10.827766261669897,-12.118503447909356,34.89217933927043,0.35539597131358047,0.1353802889468374,0.29551554053527496,0.2193203190445544,0.35539597131358047,0.29551554053527496,0.0012225777318664033,0.30199749627650074,-0.2811997336758387,0.7681144655612243,0.868,ecg_baseline_before,HRV time,baseline_dev_sit_before,"Deviation from personal baseline, sit before training",hrv_time__SDNN_ms,difference,"Deviation from personal baseline, sit before training: SDNN, ms — difference",absolute_change,"ecg_baseline_before||baseline_dev_sit_before||Deviation from personal baseline, sit before training||hrv_time__SDNN_ms||absolute_change",weak,False,low_abs_spearman
24,ecg_breath_before::breath_in_response_before__hrv_time__pNN50_percent__percent_delta,22,13,0.5909090909090909,13,3,-90.25641025641026,23.82270697299884,-100.0,-33.33333333333334,0.2974582200510973,0.32363301740034284,0.28469367941496987,0.3458025368131018,0.2974582200510973,0.28469367941496987,0.006993006993007755,0.3184469354605652,-0.2696695171809207,0.7421909846037735,0.8452914798206278,ecg_breath_before,HRV time,breath_in_response_before,Inhale breath-hold response before training,hrv_time__pNN50_percent,percent change,"Inhale breath-hold response before training: pNN50, % — percent change",relative_change,ecg_breath_before||breath_in_response_before||Inhale breath-hold response before training||hrv_time__pNN50_percent||relative_change,reject,False,low_unique_values;low_abs_spearman
25,ecg_baseline_before::baseline_dev_sit_before__hrv_time__MeanNN_ms__robust_z,22,19,0.8636363636363636,19,19,-0.03765212137365726,1.0645206203492037,-2.512117160121859,2.165999128772313,0.20128276511429696,0.4086254541592741,0.2814433719383571,0.24309639382064632,0.20128276511429696,0.2814433719383571,0.0642779434188101,0.2829856972132532,-0.19210646900338696,0.676803139443049,0.874,ecg_baseline_before,HRV time,baseline_dev_sit_before,"Deviation from personal baseline, sit before training",hrv_time__MeanNN_ms,robust z-score,"Deviation from personal baseline, sit before training: Mean NN interval, ms — robust z-score",normalized_deviation,"ecg_baseline_before||baseline_dev_sit_before||Deviation from personal baseline, sit before training||hrv_time__MeanNN_ms||normalized_deviation",weak,False,low_abs_spearman
26,ecg_orthostatic_before::orthostatic_before__hrv_freq__LF_power__delta,22,21,0.9545454545454546,21,21,0.00019846117408707682,0.0005709120993590493,-0.000744882798252,0.001452149413985,-0.22766441561368395,0.32094410561997017,-0.2793890213476604,0.21999905543209541,0.22766441561368395,0.2793890213476604,0.16481874207991054,-0.2836078097195176,-0.6010712708491014,0.09054001226267328,0.926,ecg_orthostatic_before,HRV frequency,orthostatic_before,Orthostatic response before training,hrv_freq__LF_power,difference,Orthostatic response before training: LF power — difference,absolute_change,ecg_orthostatic_before||orthostatic_before||Orthostatic response before training||hrv_freq__LF_power||absolute_change,weak,False,low_abs_spearman
27,ecg_raw_rest_before::before__sit__full__hrv_freq__LF_power,22,22,1.0,22,22,0.0003688492167886992,0.00028246052969377664,7.209594690958206e-05,0.001103033584014,0.3342089705529621,0.12846649601349958,0.2711585361984306,0.2222237809718407,0.3342089705529621,0.2711585361984306,0.10269264482429463,0.24241528453979205,-0.18430761899150067,0.6789404720155853,0.846,ecg_raw_rest_before,ECG raw,absolute,before/sit/full,hrv_freq__LF_power,absolute value,"LF power (before, sit, full)",LF_power,ecg_raw_rest_before||absolute||before/sit/full||hrv_freq__LF_power||LF_power,weak,False,low_abs_spearman
28,ecg_baseline_before::baseline_dev_sit_before__hrv_time__RMSSD_ms__delta,22,19,0.8636363636363636,19,19,0.16032941890473956,8.364536935272765,-8.259528832566144,27.7730406678174,0.3470600819695051,0.1454474432895772,0.26385316119220975,0.2750450831335135,0.3470600819695051,0.26385316119220975,0.08689830551285671,0.25615340005414944,-0.31475563981915194,0.7560582196709502,0.828,ecg_baseline_before,HRV time,baseline_dev_sit_before,"Deviation from personal baseline, sit before training",hrv_time__RMSSD_ms,difference,"Deviation from personal baseline, sit before training: RMSSD, ms — difference",absolute_change,"ecg_baseline_before||baseline_dev_sit_before||Deviation from personal baseline, sit before training||hrv_time__RMSSD_ms||absolute_change",weak,False,low_abs_spearman
29,ecg_orthostatic_before::orthostatic_before__hrv_time__SDNN_ms__delta,22,22,1.0,22,22,25.458247259932854,21.85406452861194,-4.8366606470496265,60.828374357522655,0.26074677502871796,0.24118363238445284,0.2496470030553401,0.2625203511486293,0.26074677502871796,0.2496470030553401,0.012888523428912002,0.2580408311439567,-0.1993974922909877,0.6785647839256224,0.854,ecg_orthostatic_before,HRV time,orthostatic_before,Orthostatic response before training,hrv_time__SDNN_ms,difference,"Orthostatic response before training: SDNN, ms — difference",absolute_change,ecg_orthostatic_before||orthostatic_before||Orthostatic response before training||hrv_time__SDNN_ms||absolute_change,weak,False,low_abs_spearman
30,ecg_raw_rest_before::before__long__full__hrv_freq__LF_HF_ratio,22,20,0.9090909090909091,20,20,1.813503525857156,1.0129167005545796,0.6130006665677898,3.766621851107303,-0.24118028636399919,0.30566334388040517,-0.24265321994293068,0.30262801543245393,0.24118028636399919,0.24265321994293068,0.0,-0.21845302239252345,-0.6176093572616752,0.27990021173493196,0.832,ecg_raw_rest_before,ECG raw,absolute,before/long/full,hrv_freq__LF_HF_ratio,absolute value,"LF/HF ratio (before, long, full)",LF_HF_ratio,ecg_raw_rest_before||absolute||before/long/full||hrv_freq__LF_HF_ratio||LF_HF_ratio,weak,False,low_abs_spearman
31,ecg_raw_rest_before::before__long__full__morph_qrs__QRS_duration_ms,22,7,0.3181818181818182,7,5,104.80455777960576,23.984140257950028,76.77543186180424,132.22435487310727,-0.043779025387039566,0.9257496202015792,-0.23854214911071148,0.6064608899104239,0.043779025387039566,0.23854214911071148,0.0,-0.2858309752375148,-0.9999999999999999,0.6645161629976685,0.6953907815631263,ecg_raw_rest_before,ECG raw,absolute,before/long/full,morph_qrs__QRS_duration_ms,absolute value,"QRS duration, ms (before, long, full)",QRS_duration_ms,ecg_raw_rest_before||absolute||before/long/full||morph_qrs__QRS_duration_ms||QRS_duration_ms,reject,False,low_valid_fraction;low_abs_spearman
32,ecg_raw_rest_before::before__long__full__hrv_freq__HF_power,22,20,0.9090909090909091,20,20,0.00027947997207497174,0.00016060943517051505,9.523897884633458e-05,0.0007102523653419,0.06064264347364993,0.7995164855108061,0.22096631458004212,0.3491667970751152,0.06064264347364993,0.22096631458004212,0.0,0.22439088681170158,-0.2836059967684408,0.6696350454337076,0.794,ecg_raw_rest_before,ECG raw,absolute,before/long/full,hrv_freq__HF_power,absolute value,"HF power (before, long, full)",HF_power,ecg_raw_rest_before||absolute||before/long/full||hrv_freq__HF_power||HF_power,weak,False,low_abs_spearman
