column,role,source_table,feature_family,source_id,phase,recording,segment,feature,operation_id,operation_type,formula,base_formula,formula_key,id,label,direction,horizon,data_type,scale_type,is_target
date,meta,computed,date,,,,,,,,,,,,,,,,,False
n_ecg_records_expected,qc,raw_ecg_features,qc_summary,,,,,,,,,,,,,,,,,False
n_ecg_records_found,qc,raw_ecg_features,qc_summary,,,,,,,,,,,,,,,,,False
n_ecg_records_valid_hrv,qc,raw_ecg_features,qc_summary,,,,,,,,,,,,,,,,,False
n_ecg_records_valid_morphology,qc,raw_ecg_features,qc_summary,,,,,,,,,,,,,,,,,False
complete_core_day,qc,raw_ecg_features,qc_summary,,,,,,,,,,,,,,,,,False
raw_ecg__before__sit__full__hrv_time__MeanHR_bpm,input,raw_ecg_features,hrv_time,sit_before,before,sit,full,hrv_time__MeanHR_bpm,,,,,,,,,,,,False
raw_ecg__before__sit__full__hrv_time__MeanNN_ms,input,raw_ecg_features,hrv_time,sit_before,before,sit,full,hrv_time__MeanNN_ms,,,,,,,,,,,,False
raw_ecg__before__sit__full__hrv_time__SDNN_ms,input,raw_ecg_features,hrv_time,sit_before,before,sit,full,hrv_time__SDNN_ms,,,,,,,,,,,,False
raw_ecg__before__sit__full__hrv_time__RMSSD_ms,input,raw_ecg_features,hrv_time,sit_before,before,sit,full,hrv_time__RMSSD_ms,,,,,,,,,,,,False
raw_ecg__before__sit__full__hrv_time__pNN50_percent,input,raw_ecg_features,hrv_time,sit_before,before,sit,full,hrv_time__pNN50_percent,,,,,,,,,,,,False
raw_ecg__before__sit__full__hrv_freq__LF_power,input,raw_ecg_features,hrv_freq,sit_before,before,sit,full,hrv_freq__LF_power,,,,,,,,,,,,False
raw_ecg__before__sit__full__hrv_freq__HF_power,input,raw_ecg_features,hrv_freq,sit_before,before,sit,full,hrv_freq__HF_power,,,,,,,,,,,,False
raw_ecg__before__sit__full__hrv_freq__LF_HF_ratio,input,raw_ecg_features,hrv_freq,sit_before,before,sit,full,hrv_freq__LF_HF_ratio,,,,,,,,,,,,False
raw_ecg__before__sit__full__morph_qrs__QRS_duration_ms,input,raw_ecg_features,morph_qrs,sit_before,before,sit,full,morph_qrs__QRS_duration_ms,,,,,,,,,,,,False
raw_ecg__before__sit__full__morph_qrs__QRS_area,input,raw_ecg_features,morph_qrs,sit_before,before,sit,full,morph_qrs__QRS_area,,,,,,,,,,,,False
raw_ecg__before__sit__full__morph_qrs__QRS_main_amp,input,raw_ecg_features,morph_qrs,sit_before,before,sit,full,morph_qrs__QRS_main_amp,,,,,,,,,,,,False
raw_ecg__before__sit__full__morph_qrs__R_width_half_ms,input,raw_ecg_features,morph_qrs,sit_before,before,sit,full,morph_qrs__R_width_half_ms,,,,,,,,,,,,False
raw_ecg__before__sit__full__morph_t__T_amp,input,raw_ecg_features,morph_t,sit_before,before,sit,full,morph_t__T_amp,,,,,,,,,,,,False
raw_ecg__before__sit__full__morph_t__T_area,input,raw_ecg_features,morph_t,sit_before,before,sit,full,morph_t__T_area,,,,,,,,,,,,False
raw_ecg__before__sit__full__morph_t__RT_interval_ms,input,raw_ecg_features,morph_t,sit_before,before,sit,full,morph_t__RT_interval_ms,,,,,,,,,,,,False
raw_ecg__before__sit__full__morph_t__QT_like_ms,input,raw_ecg_features,morph_t,sit_before,before,sit,full,morph_t__QT_like_ms,,,,,,,,,,,,False
raw_ecg__before__stand__full__hrv_time__MeanHR_bpm,input,raw_ecg_features,hrv_time,stand_before,before,stand,full,hrv_time__MeanHR_bpm,,,,,,,,,,,,False
raw_ecg__before__stand__full__hrv_time__MeanNN_ms,input,raw_ecg_features,hrv_time,stand_before,before,stand,full,hrv_time__MeanNN_ms,,,,,,,,,,,,False
raw_ecg__before__stand__full__hrv_time__SDNN_ms,input,raw_ecg_features,hrv_time,stand_before,before,stand,full,hrv_time__SDNN_ms,,,,,,,,,,,,False
raw_ecg__before__stand__full__hrv_time__RMSSD_ms,input,raw_ecg_features,hrv_time,stand_before,before,stand,full,hrv_time__RMSSD_ms,,,,,,,,,,,,False
raw_ecg__before__stand__full__hrv_time__pNN50_percent,input,raw_ecg_features,hrv_time,stand_before,before,stand,full,hrv_time__pNN50_percent,,,,,,,,,,,,False
raw_ecg__before__stand__full__hrv_freq__LF_power,input,raw_ecg_features,hrv_freq,stand_before,before,stand,full,hrv_freq__LF_power,,,,,,,,,,,,False
raw_ecg__before__stand__full__hrv_freq__HF_power,input,raw_ecg_features,hrv_freq,stand_before,before,stand,full,hrv_freq__HF_power,,,,,,,,,,,,False
raw_ecg__before__stand__full__hrv_freq__LF_HF_ratio,input,raw_ecg_features,hrv_freq,stand_before,before,stand,full,hrv_freq__LF_HF_ratio,,,,,,,,,,,,False
raw_ecg__before__stand__full__morph_qrs__QRS_duration_ms,input,raw_ecg_features,morph_qrs,stand_before,before,stand,full,morph_qrs__QRS_duration_ms,,,,,,,,,,,,False
raw_ecg__before__stand__full__morph_qrs__QRS_area,input,raw_ecg_features,morph_qrs,stand_before,before,stand,full,morph_qrs__QRS_area,,,,,,,,,,,,False
raw_ecg__before__stand__full__morph_qrs__QRS_main_amp,input,raw_ecg_features,morph_qrs,stand_before,before,stand,full,morph_qrs__QRS_main_amp,,,,,,,,,,,,False
raw_ecg__before__stand__full__morph_qrs__R_width_half_ms,input,raw_ecg_features,morph_qrs,stand_before,before,stand,full,morph_qrs__R_width_half_ms,,,,,,,,,,,,False
raw_ecg__before__stand__full__morph_t__T_amp,input,raw_ecg_features,morph_t,stand_before,before,stand,full,morph_t__T_amp,,,,,,,,,,,,False
raw_ecg__before__stand__full__morph_t__T_area,input,raw_ecg_features,morph_t,stand_before,before,stand,full,morph_t__T_area,,,,,,,,,,,,False
raw_ecg__before__stand__full__morph_t__RT_interval_ms,input,raw_ecg_features,morph_t,stand_before,before,stand,full,morph_t__RT_interval_ms,,,,,,,,,,,,False
raw_ecg__before__stand__full__morph_t__QT_like_ms,input,raw_ecg_features,morph_t,stand_before,before,stand,full,morph_t__QT_like_ms,,,,,,,,,,,,False
raw_ecg__before__long__full__hrv_time__MeanHR_bpm,input,raw_ecg_features,hrv_time,long_before,before,long,full,hrv_time__MeanHR_bpm,,,,,,,,,,,,False
raw_ecg__before__long__full__hrv_time__MeanNN_ms,input,raw_ecg_features,hrv_time,long_before,before,long,full,hrv_time__MeanNN_ms,,,,,,,,,,,,False
raw_ecg__before__long__full__hrv_time__SDNN_ms,input,raw_ecg_features,hrv_time,long_before,before,long,full,hrv_time__SDNN_ms,,,,,,,,,,,,False
raw_ecg__before__long__full__hrv_time__RMSSD_ms,input,raw_ecg_features,hrv_time,long_before,before,long,full,hrv_time__RMSSD_ms,,,,,,,,,,,,False
raw_ecg__before__long__full__hrv_time__pNN50_percent,input,raw_ecg_features,hrv_time,long_before,before,long,full,hrv_time__pNN50_percent,,,,,,,,,,,,False
raw_ecg__before__long__full__hrv_freq__LF_power,input,raw_ecg_features,hrv_freq,long_before,before,long,full,hrv_freq__LF_power,,,,,,,,,,,,False
raw_ecg__before__long__full__hrv_freq__HF_power,input,raw_ecg_features,hrv_freq,long_before,before,long,full,hrv_freq__HF_power,,,,,,,,,,,,False
raw_ecg__before__long__full__hrv_freq__LF_HF_ratio,input,raw_ecg_features,hrv_freq,long_before,before,long,full,hrv_freq__LF_HF_ratio,,,,,,,,,,,,False
raw_ecg__before__long__full__morph_qrs__QRS_duration_ms,input,raw_ecg_features,morph_qrs,long_before,before,long,full,morph_qrs__QRS_duration_ms,,,,,,,,,,,,False
raw_ecg__before__long__full__morph_qrs__QRS_area,input,raw_ecg_features,morph_qrs,long_before,before,long,full,morph_qrs__QRS_area,,,,,,,,,,,,False
raw_ecg__before__long__full__morph_qrs__QRS_main_amp,input,raw_ecg_features,morph_qrs,long_before,before,long,full,morph_qrs__QRS_main_amp,,,,,,,,,,,,False
raw_ecg__before__long__full__morph_qrs__R_width_half_ms,input,raw_ecg_features,morph_qrs,long_before,before,long,full,morph_qrs__R_width_half_ms,,,,,,,,,,,,False
raw_ecg__before__long__full__morph_t__T_amp,input,raw_ecg_features,morph_t,long_before,before,long,full,morph_t__T_amp,,,,,,,,,,,,False
raw_ecg__before__long__full__morph_t__T_area,input,raw_ecg_features,morph_t,long_before,before,long,full,morph_t__T_area,,,,,,,,,,,,False
raw_ecg__before__long__full__morph_t__RT_interval_ms,input,raw_ecg_features,morph_t,long_before,before,long,full,morph_t__RT_interval_ms,,,,,,,,,,,,False
raw_ecg__before__long__full__morph_t__QT_like_ms,input,raw_ecg_features,morph_t,long_before,before,long,full,morph_t__QT_like_ms,,,,,,,,,,,,False
raw_ecg__after__sit__full__hrv_time__MeanHR_bpm,input,raw_ecg_features,hrv_time,sit_after,after,sit,full,hrv_time__MeanHR_bpm,,,,,,,,,,,,False
raw_ecg__after__sit__full__hrv_time__MeanNN_ms,input,raw_ecg_features,hrv_time,sit_after,after,sit,full,hrv_time__MeanNN_ms,,,,,,,,,,,,False
raw_ecg__after__sit__full__hrv_time__SDNN_ms,input,raw_ecg_features,hrv_time,sit_after,after,sit,full,hrv_time__SDNN_ms,,,,,,,,,,,,False
raw_ecg__after__sit__full__hrv_time__RMSSD_ms,input,raw_ecg_features,hrv_time,sit_after,after,sit,full,hrv_time__RMSSD_ms,,,,,,,,,,,,False
raw_ecg__after__sit__full__hrv_time__pNN50_percent,input,raw_ecg_features,hrv_time,sit_after,after,sit,full,hrv_time__pNN50_percent,,,,,,,,,,,,False
raw_ecg__after__sit__full__hrv_freq__LF_power,input,raw_ecg_features,hrv_freq,sit_after,after,sit,full,hrv_freq__LF_power,,,,,,,,,,,,False
raw_ecg__after__sit__full__hrv_freq__HF_power,input,raw_ecg_features,hrv_freq,sit_after,after,sit,full,hrv_freq__HF_power,,,,,,,,,,,,False
raw_ecg__after__sit__full__hrv_freq__LF_HF_ratio,input,raw_ecg_features,hrv_freq,sit_after,after,sit,full,hrv_freq__LF_HF_ratio,,,,,,,,,,,,False
raw_ecg__after__sit__full__morph_qrs__QRS_duration_ms,input,raw_ecg_features,morph_qrs,sit_after,after,sit,full,morph_qrs__QRS_duration_ms,,,,,,,,,,,,False
raw_ecg__after__sit__full__morph_qrs__QRS_area,input,raw_ecg_features,morph_qrs,sit_after,after,sit,full,morph_qrs__QRS_area,,,,,,,,,,,,False
raw_ecg__after__sit__full__morph_qrs__QRS_main_amp,input,raw_ecg_features,morph_qrs,sit_after,after,sit,full,morph_qrs__QRS_main_amp,,,,,,,,,,,,False
raw_ecg__after__sit__full__morph_qrs__R_width_half_ms,input,raw_ecg_features,morph_qrs,sit_after,after,sit,full,morph_qrs__R_width_half_ms,,,,,,,,,,,,False
raw_ecg__after__sit__full__morph_t__T_amp,input,raw_ecg_features,morph_t,sit_after,after,sit,full,morph_t__T_amp,,,,,,,,,,,,False
raw_ecg__after__sit__full__morph_t__T_area,input,raw_ecg_features,morph_t,sit_after,after,sit,full,morph_t__T_area,,,,,,,,,,,,False
raw_ecg__after__sit__full__morph_t__RT_interval_ms,input,raw_ecg_features,morph_t,sit_after,after,sit,full,morph_t__RT_interval_ms,,,,,,,,,,,,False
raw_ecg__after__sit__full__morph_t__QT_like_ms,input,raw_ecg_features,morph_t,sit_after,after,sit,full,morph_t__QT_like_ms,,,,,,,,,,,,False
raw_ecg__after__stand__full__hrv_time__MeanHR_bpm,input,raw_ecg_features,hrv_time,stand_after,after,stand,full,hrv_time__MeanHR_bpm,,,,,,,,,,,,False
raw_ecg__after__stand__full__hrv_time__MeanNN_ms,input,raw_ecg_features,hrv_time,stand_after,after,stand,full,hrv_time__MeanNN_ms,,,,,,,,,,,,False
raw_ecg__after__stand__full__hrv_time__SDNN_ms,input,raw_ecg_features,hrv_time,stand_after,after,stand,full,hrv_time__SDNN_ms,,,,,,,,,,,,False
raw_ecg__after__stand__full__hrv_time__RMSSD_ms,input,raw_ecg_features,hrv_time,stand_after,after,stand,full,hrv_time__RMSSD_ms,,,,,,,,,,,,False
raw_ecg__after__stand__full__hrv_time__pNN50_percent,input,raw_ecg_features,hrv_time,stand_after,after,stand,full,hrv_time__pNN50_percent,,,,,,,,,,,,False
raw_ecg__after__stand__full__hrv_freq__LF_power,input,raw_ecg_features,hrv_freq,stand_after,after,stand,full,hrv_freq__LF_power,,,,,,,,,,,,False
raw_ecg__after__stand__full__hrv_freq__HF_power,input,raw_ecg_features,hrv_freq,stand_after,after,stand,full,hrv_freq__HF_power,,,,,,,,,,,,False
raw_ecg__after__stand__full__hrv_freq__LF_HF_ratio,input,raw_ecg_features,hrv_freq,stand_after,after,stand,full,hrv_freq__LF_HF_ratio,,,,,,,,,,,,False
raw_ecg__after__stand__full__morph_qrs__QRS_duration_ms,input,raw_ecg_features,morph_qrs,stand_after,after,stand,full,morph_qrs__QRS_duration_ms,,,,,,,,,,,,False
raw_ecg__after__stand__full__morph_qrs__QRS_area,input,raw_ecg_features,morph_qrs,stand_after,after,stand,full,morph_qrs__QRS_area,,,,,,,,,,,,False
raw_ecg__after__stand__full__morph_qrs__QRS_main_amp,input,raw_ecg_features,morph_qrs,stand_after,after,stand,full,morph_qrs__QRS_main_amp,,,,,,,,,,,,False
raw_ecg__after__stand__full__morph_qrs__R_width_half_ms,input,raw_ecg_features,morph_qrs,stand_after,after,stand,full,morph_qrs__R_width_half_ms,,,,,,,,,,,,False
raw_ecg__after__stand__full__morph_t__T_amp,input,raw_ecg_features,morph_t,stand_after,after,stand,full,morph_t__T_amp,,,,,,,,,,,,False
raw_ecg__after__stand__full__morph_t__T_area,input,raw_ecg_features,morph_t,stand_after,after,stand,full,morph_t__T_area,,,,,,,,,,,,False
raw_ecg__after__stand__full__morph_t__RT_interval_ms,input,raw_ecg_features,morph_t,stand_after,after,stand,full,morph_t__RT_interval_ms,,,,,,,,,,,,False
raw_ecg__after__stand__full__morph_t__QT_like_ms,input,raw_ecg_features,morph_t,stand_after,after,stand,full,morph_t__QT_like_ms,,,,,,,,,,,,False
raw_ecg__after__long__full__hrv_time__MeanHR_bpm,input,raw_ecg_features,hrv_time,long_after,after,long,full,hrv_time__MeanHR_bpm,,,,,,,,,,,,False
raw_ecg__after__long__full__hrv_time__MeanNN_ms,input,raw_ecg_features,hrv_time,long_after,after,long,full,hrv_time__MeanNN_ms,,,,,,,,,,,,False
raw_ecg__after__long__full__hrv_time__SDNN_ms,input,raw_ecg_features,hrv_time,long_after,after,long,full,hrv_time__SDNN_ms,,,,,,,,,,,,False
raw_ecg__after__long__full__hrv_time__RMSSD_ms,input,raw_ecg_features,hrv_time,long_after,after,long,full,hrv_time__RMSSD_ms,,,,,,,,,,,,False
raw_ecg__after__long__full__hrv_time__pNN50_percent,input,raw_ecg_features,hrv_time,long_after,after,long,full,hrv_time__pNN50_percent,,,,,,,,,,,,False
raw_ecg__after__long__full__hrv_freq__LF_power,input,raw_ecg_features,hrv_freq,long_after,after,long,full,hrv_freq__LF_power,,,,,,,,,,,,False
raw_ecg__after__long__full__hrv_freq__HF_power,input,raw_ecg_features,hrv_freq,long_after,after,long,full,hrv_freq__HF_power,,,,,,,,,,,,False
raw_ecg__after__long__full__hrv_freq__LF_HF_ratio,input,raw_ecg_features,hrv_freq,long_after,after,long,full,hrv_freq__LF_HF_ratio,,,,,,,,,,,,False
raw_ecg__after__long__full__morph_qrs__QRS_duration_ms,input,raw_ecg_features,morph_qrs,long_after,after,long,full,morph_qrs__QRS_duration_ms,,,,,,,,,,,,False
raw_ecg__after__long__full__morph_qrs__QRS_area,input,raw_ecg_features,morph_qrs,long_after,after,long,full,morph_qrs__QRS_area,,,,,,,,,,,,False
raw_ecg__after__long__full__morph_qrs__QRS_main_amp,input,raw_ecg_features,morph_qrs,long_after,after,long,full,morph_qrs__QRS_main_amp,,,,,,,,,,,,False
raw_ecg__after__long__full__morph_qrs__R_width_half_ms,input,raw_ecg_features,morph_qrs,long_after,after,long,full,morph_qrs__R_width_half_ms,,,,,,,,,,,,False
raw_ecg__after__long__full__morph_t__T_amp,input,raw_ecg_features,morph_t,long_after,after,long,full,morph_t__T_amp,,,,,,,,,,,,False
raw_ecg__after__long__full__morph_t__T_area,input,raw_ecg_features,morph_t,long_after,after,long,full,morph_t__T_area,,,,,,,,,,,,False
raw_ecg__after__long__full__morph_t__RT_interval_ms,input,raw_ecg_features,morph_t,long_after,after,long,full,morph_t__RT_interval_ms,,,,,,,,,,,,False
raw_ecg__after__long__full__morph_t__QT_like_ms,input,raw_ecg_features,morph_t,long_after,after,long,full,morph_t__QT_like_ms,,,,,,,,,,,,False
raw_ecg__before__breath_in__start__hrv_time__MeanHR_bpm,input,raw_ecg_features,hrv_time,breath_in_start_before,before,breath_in,start,hrv_time__MeanHR_bpm,,,,,,,,,,,,False
raw_ecg__before__breath_in__start__hrv_time__MeanNN_ms,input,raw_ecg_features,hrv_time,breath_in_start_before,before,breath_in,start,hrv_time__MeanNN_ms,,,,,,,,,,,,False
raw_ecg__before__breath_in__start__hrv_time__SDNN_ms,input,raw_ecg_features,hrv_time,breath_in_start_before,before,breath_in,start,hrv_time__SDNN_ms,,,,,,,,,,,,False
raw_ecg__before__breath_in__start__hrv_time__RMSSD_ms,input,raw_ecg_features,hrv_time,breath_in_start_before,before,breath_in,start,hrv_time__RMSSD_ms,,,,,,,,,,,,False
raw_ecg__before__breath_in__start__hrv_time__pNN50_percent,input,raw_ecg_features,hrv_time,breath_in_start_before,before,breath_in,start,hrv_time__pNN50_percent,,,,,,,,,,,,False
raw_ecg__before__breath_in__start__hrv_freq__LF_power,input,raw_ecg_features,hrv_freq,breath_in_start_before,before,breath_in,start,hrv_freq__LF_power,,,,,,,,,,,,False
raw_ecg__before__breath_in__start__hrv_freq__HF_power,input,raw_ecg_features,hrv_freq,breath_in_start_before,before,breath_in,start,hrv_freq__HF_power,,,,,,,,,,,,False
raw_ecg__before__breath_in__start__hrv_freq__LF_HF_ratio,input,raw_ecg_features,hrv_freq,breath_in_start_before,before,breath_in,start,hrv_freq__LF_HF_ratio,,,,,,,,,,,,False
raw_ecg__before__breath_in__start__morph_qrs__QRS_duration_ms,input,raw_ecg_features,morph_qrs,breath_in_start_before,before,breath_in,start,morph_qrs__QRS_duration_ms,,,,,,,,,,,,False
raw_ecg__before__breath_in__start__morph_qrs__QRS_area,input,raw_ecg_features,morph_qrs,breath_in_start_before,before,breath_in,start,morph_qrs__QRS_area,,,,,,,,,,,,False
raw_ecg__before__breath_in__start__morph_qrs__QRS_main_amp,input,raw_ecg_features,morph_qrs,breath_in_start_before,before,breath_in,start,morph_qrs__QRS_main_amp,,,,,,,,,,,,False
raw_ecg__before__breath_in__start__morph_qrs__R_width_half_ms,input,raw_ecg_features,morph_qrs,breath_in_start_before,before,breath_in,start,morph_qrs__R_width_half_ms,,,,,,,,,,,,False
raw_ecg__before__breath_in__start__morph_t__T_amp,input,raw_ecg_features,morph_t,breath_in_start_before,before,breath_in,start,morph_t__T_amp,,,,,,,,,,,,False
raw_ecg__before__breath_in__start__morph_t__T_area,input,raw_ecg_features,morph_t,breath_in_start_before,before,breath_in,start,morph_t__T_area,,,,,,,,,,,,False
raw_ecg__before__breath_in__start__morph_t__RT_interval_ms,input,raw_ecg_features,morph_t,breath_in_start_before,before,breath_in,start,morph_t__RT_interval_ms,,,,,,,,,,,,False
raw_ecg__before__breath_in__start__morph_t__QT_like_ms,input,raw_ecg_features,morph_t,breath_in_start_before,before,breath_in,start,morph_t__QT_like_ms,,,,,,,,,,,,False
raw_ecg__before__breath_in__end__hrv_time__MeanHR_bpm,input,raw_ecg_features,hrv_time,breath_in_end_before,before,breath_in,end,hrv_time__MeanHR_bpm,,,,,,,,,,,,False
raw_ecg__before__breath_in__end__hrv_time__MeanNN_ms,input,raw_ecg_features,hrv_time,breath_in_end_before,before,breath_in,end,hrv_time__MeanNN_ms,,,,,,,,,,,,False
raw_ecg__before__breath_in__end__hrv_time__SDNN_ms,input,raw_ecg_features,hrv_time,breath_in_end_before,before,breath_in,end,hrv_time__SDNN_ms,,,,,,,,,,,,False
raw_ecg__before__breath_in__end__hrv_time__RMSSD_ms,input,raw_ecg_features,hrv_time,breath_in_end_before,before,breath_in,end,hrv_time__RMSSD_ms,,,,,,,,,,,,False
raw_ecg__before__breath_in__end__hrv_time__pNN50_percent,input,raw_ecg_features,hrv_time,breath_in_end_before,before,breath_in,end,hrv_time__pNN50_percent,,,,,,,,,,,,False
raw_ecg__before__breath_in__end__hrv_freq__LF_power,input,raw_ecg_features,hrv_freq,breath_in_end_before,before,breath_in,end,hrv_freq__LF_power,,,,,,,,,,,,False
raw_ecg__before__breath_in__end__hrv_freq__HF_power,input,raw_ecg_features,hrv_freq,breath_in_end_before,before,breath_in,end,hrv_freq__HF_power,,,,,,,,,,,,False
raw_ecg__before__breath_in__end__hrv_freq__LF_HF_ratio,input,raw_ecg_features,hrv_freq,breath_in_end_before,before,breath_in,end,hrv_freq__LF_HF_ratio,,,,,,,,,,,,False
raw_ecg__before__breath_in__end__morph_qrs__QRS_duration_ms,input,raw_ecg_features,morph_qrs,breath_in_end_before,before,breath_in,end,morph_qrs__QRS_duration_ms,,,,,,,,,,,,False
raw_ecg__before__breath_in__end__morph_qrs__QRS_area,input,raw_ecg_features,morph_qrs,breath_in_end_before,before,breath_in,end,morph_qrs__QRS_area,,,,,,,,,,,,False
raw_ecg__before__breath_in__end__morph_qrs__QRS_main_amp,input,raw_ecg_features,morph_qrs,breath_in_end_before,before,breath_in,end,morph_qrs__QRS_main_amp,,,,,,,,,,,,False
raw_ecg__before__breath_in__end__morph_qrs__R_width_half_ms,input,raw_ecg_features,morph_qrs,breath_in_end_before,before,breath_in,end,morph_qrs__R_width_half_ms,,,,,,,,,,,,False
raw_ecg__before__breath_in__end__morph_t__T_amp,input,raw_ecg_features,morph_t,breath_in_end_before,before,breath_in,end,morph_t__T_amp,,,,,,,,,,,,False
raw_ecg__before__breath_in__end__morph_t__T_area,input,raw_ecg_features,morph_t,breath_in_end_before,before,breath_in,end,morph_t__T_area,,,,,,,,,,,,False
raw_ecg__before__breath_in__end__morph_t__RT_interval_ms,input,raw_ecg_features,morph_t,breath_in_end_before,before,breath_in,end,morph_t__RT_interval_ms,,,,,,,,,,,,False
raw_ecg__before__breath_in__end__morph_t__QT_like_ms,input,raw_ecg_features,morph_t,breath_in_end_before,before,breath_in,end,morph_t__QT_like_ms,,,,,,,,,,,,False
ecg_der__orthostatic_before__delta__hrv_time__MeanHR_bpm,input,ecg_derived,hrv_time,,,,,hrv_time__MeanHR_bpm,orthostatic_before,pairwise,delta,,delta,,,,,,,False
ecg_der__orthostatic_before__percent_delta__hrv_time__MeanHR_bpm,input,ecg_derived,hrv_time,,,,,hrv_time__MeanHR_bpm,orthostatic_before,pairwise,percent_delta,,percent_delta,,,,,,,False
ecg_der__orthostatic_before__ratio__hrv_time__MeanHR_bpm,input,ecg_derived,hrv_time,,,,,hrv_time__MeanHR_bpm,orthostatic_before,pairwise,ratio,,ratio,,,,,,,False
ecg_der__orthostatic_before__delta__hrv_time__MeanNN_ms,input,ecg_derived,hrv_time,,,,,hrv_time__MeanNN_ms,orthostatic_before,pairwise,delta,,delta,,,,,,,False
ecg_der__orthostatic_before__percent_delta__hrv_time__MeanNN_ms,input,ecg_derived,hrv_time,,,,,hrv_time__MeanNN_ms,orthostatic_before,pairwise,percent_delta,,percent_delta,,,,,,,False
ecg_der__orthostatic_before__ratio__hrv_time__MeanNN_ms,input,ecg_derived,hrv_time,,,,,hrv_time__MeanNN_ms,orthostatic_before,pairwise,ratio,,ratio,,,,,,,False
ecg_der__orthostatic_before__delta__hrv_time__SDNN_ms,input,ecg_derived,hrv_time,,,,,hrv_time__SDNN_ms,orthostatic_before,pairwise,delta,,delta,,,,,,,False
ecg_der__orthostatic_before__percent_delta__hrv_time__SDNN_ms,input,ecg_derived,hrv_time,,,,,hrv_time__SDNN_ms,orthostatic_before,pairwise,percent_delta,,percent_delta,,,,,,,False
ecg_der__orthostatic_before__ratio__hrv_time__SDNN_ms,input,ecg_derived,hrv_time,,,,,hrv_time__SDNN_ms,orthostatic_before,pairwise,ratio,,ratio,,,,,,,False
ecg_der__orthostatic_before__delta__hrv_time__RMSSD_ms,input,ecg_derived,hrv_time,,,,,hrv_time__RMSSD_ms,orthostatic_before,pairwise,delta,,delta,,,,,,,False
ecg_der__orthostatic_before__percent_delta__hrv_time__RMSSD_ms,input,ecg_derived,hrv_time,,,,,hrv_time__RMSSD_ms,orthostatic_before,pairwise,percent_delta,,percent_delta,,,,,,,False
ecg_der__orthostatic_before__ratio__hrv_time__RMSSD_ms,input,ecg_derived,hrv_time,,,,,hrv_time__RMSSD_ms,orthostatic_before,pairwise,ratio,,ratio,,,,,,,False
ecg_der__orthostatic_before__delta__hrv_time__pNN50_percent,input,ecg_derived,hrv_time,,,,,hrv_time__pNN50_percent,orthostatic_before,pairwise,delta,,delta,,,,,,,False
ecg_der__orthostatic_before__percent_delta__hrv_time__pNN50_percent,input,ecg_derived,hrv_time,,,,,hrv_time__pNN50_percent,orthostatic_before,pairwise,percent_delta,,percent_delta,,,,,,,False
ecg_der__orthostatic_before__ratio__hrv_time__pNN50_percent,input,ecg_derived,hrv_time,,,,,hrv_time__pNN50_percent,orthostatic_before,pairwise,ratio,,ratio,,,,,,,False
ecg_der__orthostatic_before__delta__hrv_freq__LF_power,input,ecg_derived,hrv_freq,,,,,hrv_freq__LF_power,orthostatic_before,pairwise,delta,,delta,,,,,,,False
ecg_der__orthostatic_before__percent_delta__hrv_freq__LF_power,input,ecg_derived,hrv_freq,,,,,hrv_freq__LF_power,orthostatic_before,pairwise,percent_delta,,percent_delta,,,,,,,False
ecg_der__orthostatic_before__ratio__hrv_freq__LF_power,input,ecg_derived,hrv_freq,,,,,hrv_freq__LF_power,orthostatic_before,pairwise,ratio,,ratio,,,,,,,False
ecg_der__orthostatic_before__delta__hrv_freq__HF_power,input,ecg_derived,hrv_freq,,,,,hrv_freq__HF_power,orthostatic_before,pairwise,delta,,delta,,,,,,,False
ecg_der__orthostatic_before__percent_delta__hrv_freq__HF_power,input,ecg_derived,hrv_freq,,,,,hrv_freq__HF_power,orthostatic_before,pairwise,percent_delta,,percent_delta,,,,,,,False
ecg_der__orthostatic_before__ratio__hrv_freq__HF_power,input,ecg_derived,hrv_freq,,,,,hrv_freq__HF_power,orthostatic_before,pairwise,ratio,,ratio,,,,,,,False
ecg_der__orthostatic_before__delta__hrv_freq__LF_HF_ratio,input,ecg_derived,hrv_freq,,,,,hrv_freq__LF_HF_ratio,orthostatic_before,pairwise,delta,,delta,,,,,,,False
ecg_der__orthostatic_before__percent_delta__hrv_freq__LF_HF_ratio,input,ecg_derived,hrv_freq,,,,,hrv_freq__LF_HF_ratio,orthostatic_before,pairwise,percent_delta,,percent_delta,,,,,,,False
ecg_der__orthostatic_before__ratio__hrv_freq__LF_HF_ratio,input,ecg_derived,hrv_freq,,,,,hrv_freq__LF_HF_ratio,orthostatic_before,pairwise,ratio,,ratio,,,,,,,False
ecg_der__orthostatic_after__delta__hrv_time__MeanHR_bpm,input,ecg_derived,hrv_time,,,,,hrv_time__MeanHR_bpm,orthostatic_after,pairwise,delta,,delta,,,,,,,False
ecg_der__orthostatic_after__percent_delta__hrv_time__MeanHR_bpm,input,ecg_derived,hrv_time,,,,,hrv_time__MeanHR_bpm,orthostatic_after,pairwise,percent_delta,,percent_delta,,,,,,,False
ecg_der__orthostatic_after__ratio__hrv_time__MeanHR_bpm,input,ecg_derived,hrv_time,,,,,hrv_time__MeanHR_bpm,orthostatic_after,pairwise,ratio,,ratio,,,,,,,False
ecg_der__orthostatic_after__delta__hrv_time__MeanNN_ms,input,ecg_derived,hrv_time,,,,,hrv_time__MeanNN_ms,orthostatic_after,pairwise,delta,,delta,,,,,,,False
