target,target_column,feature,n_target_valid,n_feature_valid,n_overlap,overlap_ratio,usable,reason
subjective_strain_delta,target__subjective_strain_delta,raw_ecg__before__breath_in__start__morph_qrs__QRS_duration_ms,21,10,10,0.45454545454545453,False,low_overlap_ratio
subjective_strain_delta,target__subjective_strain_delta,raw_ecg__before__breath_in__start__morph_qrs__QRS_area,21,10,10,0.45454545454545453,False,low_overlap_ratio
subjective_strain_delta,target__subjective_strain_delta,raw_ecg__before__breath_in__start__morph_qrs__QRS_main_amp,21,10,10,0.45454545454545453,False,low_overlap_ratio
subjective_strain_delta,target__subjective_strain_delta,raw_ecg__before__breath_in__start__morph_qrs__R_width_half_ms,21,10,10,0.45454545454545453,False,low_overlap_ratio
subjective_strain_delta,target__subjective_strain_delta,raw_ecg__before__breath_in__start__morph_t__T_amp,21,7,7,0.3181818181818182,False,low_overlap_n;low_overlap_ratio
subjective_strain_delta,target__subjective_strain_delta,raw_ecg__before__breath_in__start__morph_t__T_area,21,7,7,0.3181818181818182,False,low_overlap_n;low_overlap_ratio
subjective_strain_delta,target__subjective_strain_delta,raw_ecg__before__breath_in__start__morph_t__RT_interval_ms,21,7,7,0.3181818181818182,False,low_overlap_n;low_overlap_ratio
subjective_strain_delta,target__subjective_strain_delta,raw_ecg__before__breath_in__start__morph_t__QT_like_ms,21,7,7,0.3181818181818182,False,low_overlap_n;low_overlap_ratio
subjective_strain_delta,target__subjective_strain_delta,raw_ecg__before__breath_in__end__hrv_time__MeanHR_bpm,21,22,21,0.9545454545454546,True,ok
subjective_strain_delta,target__subjective_strain_delta,raw_ecg__before__breath_in__end__hrv_time__MeanNN_ms,21,22,21,0.9545454545454546,True,ok
subjective_strain_delta,target__subjective_strain_delta,raw_ecg__before__breath_in__end__hrv_time__SDNN_ms,21,22,21,0.9545454545454546,True,ok
subjective_strain_delta,target__subjective_strain_delta,raw_ecg__before__breath_in__end__hrv_time__RMSSD_ms,21,22,21,0.9545454545454546,True,ok
subjective_strain_delta,target__subjective_strain_delta,raw_ecg__before__breath_in__end__hrv_time__pNN50_percent,21,22,21,0.9545454545454546,True,ok
subjective_strain_delta,target__subjective_strain_delta,raw_ecg__before__breath_in__end__hrv_freq__LF_power,21,0,0,0.0,False,low_overlap_n;low_overlap_ratio
subjective_strain_delta,target__subjective_strain_delta,raw_ecg__before__breath_in__end__hrv_freq__HF_power,21,0,0,0.0,False,low_overlap_n;low_overlap_ratio
subjective_strain_delta,target__subjective_strain_delta,raw_ecg__before__breath_in__end__hrv_freq__LF_HF_ratio,21,0,0,0.0,False,low_overlap_n;low_overlap_ratio
subjective_strain_delta,target__subjective_strain_delta,raw_ecg__before__breath_in__end__morph_qrs__QRS_duration_ms,21,4,4,0.18181818181818182,False,low_overlap_n;low_overlap_ratio
subjective_strain_delta,target__subjective_strain_delta,raw_ecg__before__breath_in__end__morph_qrs__QRS_area,21,4,4,0.18181818181818182,False,low_overlap_n;low_overlap_ratio
subjective_strain_delta,target__subjective_strain_delta,raw_ecg__before__breath_in__end__morph_qrs__QRS_main_amp,21,4,4,0.18181818181818182,False,low_overlap_n;low_overlap_ratio
subjective_strain_delta,target__subjective_strain_delta,raw_ecg__before__breath_in__end__morph_qrs__R_width_half_ms,21,4,4,0.18181818181818182,False,low_overlap_n;low_overlap_ratio
subjective_strain_delta,target__subjective_strain_delta,raw_ecg__before__breath_in__end__morph_t__T_amp,21,4,4,0.18181818181818182,False,low_overlap_n;low_overlap_ratio
subjective_strain_delta,target__subjective_strain_delta,raw_ecg__before__breath_in__end__morph_t__T_area,21,4,4,0.18181818181818182,False,low_overlap_n;low_overlap_ratio
subjective_strain_delta,target__subjective_strain_delta,raw_ecg__before__breath_in__end__morph_t__RT_interval_ms,21,4,4,0.18181818181818182,False,low_overlap_n;low_overlap_ratio
subjective_strain_delta,target__subjective_strain_delta,raw_ecg__before__breath_in__end__morph_t__QT_like_ms,21,4,4,0.18181818181818182,False,low_overlap_n;low_overlap_ratio
subjective_strain_delta,target__subjective_strain_delta,ecg_der__orthostatic_before__delta__hrv_time__MeanHR_bpm,21,22,21,0.9545454545454546,True,ok
subjective_strain_delta,target__subjective_strain_delta,ecg_der__orthostatic_before__percent_delta__hrv_time__MeanHR_bpm,21,22,21,0.9545454545454546,True,ok
subjective_strain_delta,target__subjective_strain_delta,ecg_der__orthostatic_before__ratio__hrv_time__MeanHR_bpm,21,22,21,0.9545454545454546,True,ok
subjective_strain_delta,target__subjective_strain_delta,ecg_der__orthostatic_before__delta__hrv_time__MeanNN_ms,21,22,21,0.9545454545454546,True,ok
subjective_strain_delta,target__subjective_strain_delta,ecg_der__orthostatic_before__percent_delta__hrv_time__MeanNN_ms,21,22,21,0.9545454545454546,True,ok
subjective_strain_delta,target__subjective_strain_delta,ecg_der__orthostatic_before__ratio__hrv_time__MeanNN_ms,21,22,21,0.9545454545454546,True,ok
subjective_strain_delta,target__subjective_strain_delta,ecg_der__orthostatic_before__delta__hrv_time__SDNN_ms,21,22,21,0.9545454545454546,True,ok
subjective_strain_delta,target__subjective_strain_delta,ecg_der__orthostatic_before__percent_delta__hrv_time__SDNN_ms,21,22,21,0.9545454545454546,True,ok
subjective_strain_delta,target__subjective_strain_delta,ecg_der__orthostatic_before__ratio__hrv_time__SDNN_ms,21,22,21,0.9545454545454546,True,ok
subjective_strain_delta,target__subjective_strain_delta,ecg_der__orthostatic_before__delta__hrv_time__RMSSD_ms,21,22,21,0.9545454545454546,True,ok
subjective_strain_delta,target__subjective_strain_delta,ecg_der__orthostatic_before__percent_delta__hrv_time__RMSSD_ms,21,22,21,0.9545454545454546,True,ok
subjective_strain_delta,target__subjective_strain_delta,ecg_der__orthostatic_before__ratio__hrv_time__RMSSD_ms,21,22,21,0.9545454545454546,True,ok
subjective_strain_delta,target__subjective_strain_delta,ecg_der__orthostatic_before__delta__hrv_time__pNN50_percent,21,22,21,0.9545454545454546,True,ok
subjective_strain_delta,target__subjective_strain_delta,ecg_der__orthostatic_before__percent_delta__hrv_time__pNN50_percent,21,22,21,0.9545454545454546,True,ok
subjective_strain_delta,target__subjective_strain_delta,ecg_der__orthostatic_before__ratio__hrv_time__pNN50_percent,21,22,21,0.9545454545454546,True,ok
subjective_strain_delta,target__subjective_strain_delta,ecg_der__orthostatic_before__delta__hrv_freq__LF_power,21,22,21,0.9545454545454546,True,ok
subjective_strain_delta,target__subjective_strain_delta,ecg_der__orthostatic_before__percent_delta__hrv_freq__LF_power,21,22,21,0.9545454545454546,True,ok
subjective_strain_delta,target__subjective_strain_delta,ecg_der__orthostatic_before__ratio__hrv_freq__LF_power,21,22,21,0.9545454545454546,True,ok
subjective_strain_delta,target__subjective_strain_delta,ecg_der__orthostatic_before__delta__hrv_freq__HF_power,21,22,21,0.9545454545454546,True,ok
subjective_strain_delta,target__subjective_strain_delta,ecg_der__orthostatic_before__percent_delta__hrv_freq__HF_power,21,22,21,0.9545454545454546,True,ok
subjective_strain_delta,target__subjective_strain_delta,ecg_der__orthostatic_before__ratio__hrv_freq__HF_power,21,22,21,0.9545454545454546,True,ok
subjective_strain_delta,target__subjective_strain_delta,ecg_der__orthostatic_before__delta__hrv_freq__LF_HF_ratio,21,22,21,0.9545454545454546,True,ok
subjective_strain_delta,target__subjective_strain_delta,ecg_der__orthostatic_before__percent_delta__hrv_freq__LF_HF_ratio,21,22,21,0.9545454545454546,True,ok
subjective_strain_delta,target__subjective_strain_delta,ecg_der__orthostatic_before__ratio__hrv_freq__LF_HF_ratio,21,22,21,0.9545454545454546,True,ok
subjective_strain_delta,target__subjective_strain_delta,ecg_der__orthostatic_after__delta__hrv_time__MeanHR_bpm,21,22,21,0.9545454545454546,True,ok
subjective_strain_delta,target__subjective_strain_delta,ecg_der__orthostatic_after__percent_delta__hrv_time__MeanHR_bpm,21,22,21,0.9545454545454546,True,ok
subjective_strain_delta,target__subjective_strain_delta,ecg_der__orthostatic_after__ratio__hrv_time__MeanHR_bpm,21,22,21,0.9545454545454546,True,ok
subjective_strain_delta,target__subjective_strain_delta,ecg_der__orthostatic_after__delta__hrv_time__MeanNN_ms,21,22,21,0.9545454545454546,True,ok
subjective_strain_delta,target__subjective_strain_delta,ecg_der__orthostatic_after__percent_delta__hrv_time__MeanNN_ms,21,22,21,0.9545454545454546,True,ok
subjective_strain_delta,target__subjective_strain_delta,ecg_der__orthostatic_after__ratio__hrv_time__MeanNN_ms,21,22,21,0.9545454545454546,True,ok
subjective_strain_delta,target__subjective_strain_delta,ecg_der__orthostatic_after__delta__hrv_time__SDNN_ms,21,22,21,0.9545454545454546,True,ok
subjective_strain_delta,target__subjective_strain_delta,ecg_der__orthostatic_after__percent_delta__hrv_time__SDNN_ms,21,22,21,0.9545454545454546,True,ok
subjective_strain_delta,target__subjective_strain_delta,ecg_der__orthostatic_after__ratio__hrv_time__SDNN_ms,21,22,21,0.9545454545454546,True,ok
subjective_strain_delta,target__subjective_strain_delta,ecg_der__orthostatic_after__delta__hrv_time__RMSSD_ms,21,22,21,0.9545454545454546,True,ok
subjective_strain_delta,target__subjective_strain_delta,ecg_der__orthostatic_after__percent_delta__hrv_time__RMSSD_ms,21,22,21,0.9545454545454546,True,ok
subjective_strain_delta,target__subjective_strain_delta,ecg_der__orthostatic_after__ratio__hrv_time__RMSSD_ms,21,22,21,0.9545454545454546,True,ok
subjective_strain_delta,target__subjective_strain_delta,ecg_der__orthostatic_after__delta__hrv_time__pNN50_percent,21,22,21,0.9545454545454546,True,ok
subjective_strain_delta,target__subjective_strain_delta,ecg_der__orthostatic_after__percent_delta__hrv_time__pNN50_percent,21,22,21,0.9545454545454546,True,ok
subjective_strain_delta,target__subjective_strain_delta,ecg_der__orthostatic_after__ratio__hrv_time__pNN50_percent,21,22,21,0.9545454545454546,True,ok
subjective_strain_delta,target__subjective_strain_delta,ecg_der__orthostatic_after__delta__hrv_freq__LF_power,21,22,21,0.9545454545454546,True,ok
subjective_strain_delta,target__subjective_strain_delta,ecg_der__orthostatic_after__percent_delta__hrv_freq__LF_power,21,22,21,0.9545454545454546,True,ok
subjective_strain_delta,target__subjective_strain_delta,ecg_der__orthostatic_after__ratio__hrv_freq__LF_power,21,22,21,0.9545454545454546,True,ok
subjective_strain_delta,target__subjective_strain_delta,ecg_der__orthostatic_after__delta__hrv_freq__HF_power,21,22,21,0.9545454545454546,True,ok
subjective_strain_delta,target__subjective_strain_delta,ecg_der__orthostatic_after__percent_delta__hrv_freq__HF_power,21,22,21,0.9545454545454546,True,ok
subjective_strain_delta,target__subjective_strain_delta,ecg_der__orthostatic_after__ratio__hrv_freq__HF_power,21,22,21,0.9545454545454546,True,ok
subjective_strain_delta,target__subjective_strain_delta,ecg_der__orthostatic_after__delta__hrv_freq__LF_HF_ratio,21,22,21,0.9545454545454546,True,ok
