feature,role,source_table,feature_family,n_total,n_valid,valid_ratio,n_missing,missing_ratio,n_unique,mean,median,std,iqr,min,max,usable,reason
raw_ecg__before__breath_in__start__morph_qrs__QRS_duration_ms,input,raw_ecg_features,morph_qrs,22,10,0.45454545454545453,12,0.5454545454545454,5,106.20601407549586,85.3060354020047,32.010293326125314,54.38259756877801,81.04073363190446,153.55086372360847,False,low_valid_ratio
raw_ecg__before__breath_in__start__morph_qrs__QRS_area,input,raw_ecg_features,morph_qrs,22,10,0.45454545454545453,12,0.5454545454545454,10,9.602644108199481,9.450647671684047,2.3669037288584938,2.042150345524302,6.869330602670932,15.273394942080085,False,low_valid_ratio
raw_ecg__before__breath_in__start__morph_qrs__QRS_main_amp,input,raw_ecg_features,morph_qrs,22,10,0.45454545454545453,12,0.5454545454545454,10,356.6487377870528,354.9434038317386,15.081233617825466,7.547380482673304,342.9944928238037,396.8540752857298,False,low_valid_ratio
raw_ecg__before__breath_in__start__morph_qrs__R_width_half_ms,input,raw_ecg_features,morph_qrs,22,10,0.45454545454545453,12,0.5454545454545454,3,33.69588398379186,34.122414160801874,2.42118239367689,0.0,29.857112390701644,38.38771593090212,False,low_valid_ratio;low_unique_values;low_iqr
raw_ecg__before__breath_in__start__morph_t__T_amp,input,raw_ecg_features,morph_t,22,7,0.3181818181818182,15,0.6818181818181818,7,-3.1130690017365628,-21.601135059195112,37.151974737055134,55.995492369677315,-55.29632249758352,40.30576578820767,False,low_valid_n;low_valid_ratio
raw_ecg__before__breath_in__start__morph_t__T_area,input,raw_ecg_features,morph_t,22,7,0.3181818181818182,15,0.6818181818181818,7,-0.08391613882361239,-0.2921840980105704,2.354066849025657,1.7388272779959262,-4.752328691786204,2.551991325988638,False,low_valid_n;low_valid_ratio
raw_ecg__before__breath_in__start__morph_t__RT_interval_ms,input,raw_ecg_features,morph_t,22,7,0.3181818181818182,15,0.6818181818181818,7,176.0960302227097,170.6120708040094,70.8910727475635,132.22435487310727,98.1019407123054,255.91810620601407,False,low_valid_n;low_valid_ratio
raw_ecg__before__breath_in__start__morph_t__QT_like_ms,input,raw_ecg_features,morph_t,22,7,0.3181818181818182,15,0.6818181818181818,7,296.1338086098163,319.8976327575176,65.2863917910191,95.96928982725524,226.0609938153125,396.67306461932185,False,low_valid_n;low_valid_ratio
raw_ecg__before__breath_in__end__hrv_time__MeanHR_bpm,input,raw_ecg_features,hrv_time,22,22,1.0,0,0.0,22,64.00571342693218,62.75235225341033,5.598908044867531,6.253540408672976,58.74843584141198,83.21470590228074,True,ok
raw_ecg__before__breath_in__end__hrv_time__MeanNN_ms,input,raw_ecg_features,hrv_time,22,22,1.0,0,0.0,22,943.7787988651711,957.0270846662402,72.25670723392066,93.5700575815739,724.39041728869,1021.5397739390064,True,ok
